전술ID,전술명,전술 설명,기법ID,기법명,기법 설명,주요 사용 사례,MITRE 페이지
TA0043,Reconnaissance (정찰),공격자가 미래 작전을 계획하기 위해 정보를 수집하는 단계. 대상 조직의 인프라나 직원 정보를 능동적/수동적으로 수집,T1595,Active Scanning,공격자가 대상의 IP 주소나 서비스를 스캔하여 취약점을 찾음,포트 스캔으로 열린 서비스 찾기,https://attack.mitre.org/techniques/T1595/
TA0043,Reconnaissance (정찰),공격자가 미래 작전을 계획하기 위해 정보를 수집하는 단계. 대상 조직의 인프라나 직원 정보를 능동적/수동적으로 수집,T1592,Gather Victim Host Information,공격자가 피해자의 컴퓨터 정보를 수집함,운영체제나 소프트웨어 버전 정보 수집,https://attack.mitre.org/techniques/T1592/
TA0043,Reconnaissance (정찰),공격자가 미래 작전을 계획하기 위해 정보를 수집하는 단계. 대상 조직의 인프라나 직원 정보를 능동적/수동적으로 수집,T1589,Gather Victim Identity Information,공격자가 피해자의 신원 정보를 수집함,직원 이메일 주소나 이름 수집,https://attack.mitre.org/techniques/T1589/
TA0043,Reconnaissance (정찰),공격자가 미래 작전을 계획하기 위해 정보를 수집하는 단계. 대상 조직의 인프라나 직원 정보를 능동적/수동적으로 수집,T1590,Gather Victim Network Information,공격자가 피해자의 네트워크 정보를 수집함,네트워크 토폴로지나 IP 범위 파악,https://attack.mitre.org/techniques/T1590/
TA0043,Reconnaissance (정찰),공격자가 미래 작전을 계획하기 위해 정보를 수집하는 단계. 대상 조직의 인프라나 직원 정보를 능동적/수동적으로 수집,T1591,Gather Victim Org Information,공격자가 피해 조직의 정보를 수집함,회사 구조나 사업 정보 파악,https://attack.mitre.org/techniques/T1591/
TA0043,Reconnaissance (정찰),공격자가 미래 작전을 계획하기 위해 정보를 수집하는 단계. 대상 조직의 인프라나 직원 정보를 능동적/수동적으로 수집,T1598,Phishing for Information,공격자가 피싱을 통해 정보를 얻음,가짜 이메일로 로그인 정보 유도,https://attack.mitre.org/techniques/T1598/
TA0043,Reconnaissance (정찰),공격자가 미래 작전을 계획하기 위해 정보를 수집하는 단계. 대상 조직의 인프라나 직원 정보를 능동적/수동적으로 수집,T1597,Search Closed Sources,공격자가 비공개 정보 소스를 검색함,다크웹이나 유료 데이터베이스 검색,https://attack.mitre.org/techniques/T1597/
TA0043,Reconnaissance (정찰),공격자가 미래 작전을 계획하기 위해 정보를 수집하는 단계. 대상 조직의 인프라나 직원 정보를 능동적/수동적으로 수집,T1596,Search Open Technical Databases,공격자가 공개 기술 데이터베이스를 검색함,WHOIS나 DNS 정보 조회,https://attack.mitre.org/techniques/T1596/
TA0043,Reconnaissance (정찰),공격자가 미래 작전을 계획하기 위해 정보를 수집하는 단계. 대상 조직의 인프라나 직원 정보를 능동적/수동적으로 수집,T1593,Search Open Websites/Domains,공격자가 공개 웹사이트를 검색함,소셜 미디어나 회사 웹사이트 조사,https://attack.mitre.org/techniques/T1593/
TA0043,Reconnaissance (정찰),공격자가 미래 작전을 계획하기 위해 정보를 수집하는 단계. 대상 조직의 인프라나 직원 정보를 능동적/수동적으로 수집,T1594,Search Victim-Owned Websites,공격자가 피해자 소유 웹사이트를 검색함,회사 공식 웹사이트에서 정보 수집,https://attack.mitre.org/techniques/T1594/
TA0042,Resource Development (자원 개발),공격자가 공격에 사용할 자원을 확보하고 준비하는 단계. 인프라나 계정 또는 능력을 얻거나 만듦,T1583,Acquire Infrastructure,공격자가 공격용 인프라를 확보함,서버나 도메인 구매/대여,https://attack.mitre.org/techniques/T1583/
TA0042,Resource Development (자원 개발),공격자가 공격에 사용할 자원을 확보하고 준비하는 단계. 인프라나 계정 또는 능력을 얻거나 만듦,T1586,Compromise Accounts,공격자가 계정을 탈취함,이메일이나 소셜 미디어 계정 해킹,https://attack.mitre.org/techniques/T1586/
TA0042,Resource Development (자원 개발),공격자가 공격에 사용할 자원을 확보하고 준비하는 단계. 인프라나 계정 또는 능력을 얻거나 만듦,T1584,Compromise Infrastructure,공격자가 인프라를 탈취함,다른 서버를 해킹하여 공격 거점 확보,https://attack.mitre.org/techniques/T1584/
TA0042,Resource Development (자원 개발),공격자가 공격에 사용할 자원을 확보하고 준비하는 단계. 인프라나 계정 또는 능력을 얻거나 만듦,T1587,Develop Capabilities,공격자가 공격 능력을 개발함,맞춤형 악성코드나 익스플로잇 제작,https://attack.mitre.org/techniques/T1587/
TA0042,Resource Development (자원 개발),공격자가 공격에 사용할 자원을 확보하고 준비하는 단계. 인프라나 계정 또는 능력을 얻거나 만듦,T1585,Establish Accounts,공격자가 계정을 만듦,가짜 이메일이나 소셜 미디어 계정 생성,https://attack.mitre.org/techniques/T1585/
TA0042,Resource Development (자원 개발),공격자가 공격에 사용할 자원을 확보하고 준비하는 단계. 인프라나 계정 또는 능력을 얻거나 만듦,T1588,Obtain Capabilities,공격자가 공격 능력을 얻음,다크웹에서 악성코드나 도구 구매,https://attack.mitre.org/techniques/T1588/
TA0042,Resource Development (자원 개발),공격자가 공격에 사용할 자원을 확보하고 준비하는 단계. 인프라나 계정 또는 능력을 얻거나 만듦,T1608,Stage Capabilities,공격자가 능력을 배치함,악성코드를 서버에 업로드하여 준비,https://attack.mitre.org/techniques/T1608/
TA0001,Initial Access (초기 접근),공격자가 대상 네트워크에 처음 침투하는 단계. 다양한 진입 경로를 사용하여 초기 거점 확보,T1189,Drive-by Compromise,공격자가 웹사이트 방문만으로 감염시킴,악성 코드가 심어진 웹사이트 방문 시 자동 감염,https://attack.mitre.org/techniques/T1189/
TA0001,Initial Access (초기 접근),공격자가 대상 네트워크에 처음 침투하는 단계. 다양한 진입 경로를 사용하여 초기 거점 확보,T1190,Exploit Public-Facing Application,공격자가 공개 웹 애플리케이션의 취약점을 악용함,웹서버의 보안 허점을 이용한 침투,https://attack.mitre.org/techniques/T1190/
TA0001,Initial Access (초기 접근),공격자가 대상 네트워크에 처음 침투하는 단계. 다양한 진입 경로를 사용하여 초기 거점 확보,T1133,External Remote Services,공격자가 외부 원격 서비스를 통해 접근함,VPN이나 원격 데스크톱을 통한 침입,https://attack.mitre.org/techniques/T1133/
TA0001,Initial Access (초기 접근),공격자가 대상 네트워크에 처음 침투하는 단계. 다양한 진입 경로를 사용하여 초기 거점 확보,T1200,Hardware Additions,공격자가 물리적 하드웨어를 추가함,USB 키로거나 네트워크 장비 몰래 설치,https://attack.mitre.org/techniques/T1200/
TA0001,Initial Access (초기 접근),공격자가 대상 네트워크에 처음 침투하는 단계. 다양한 진입 경로를 사용하여 초기 거점 확보,T1566,Phishing,공격자가 피싱 공격을 수행함,악성 첨부파일이나 링크가 포함된 이메일 발송,https://attack.mitre.org/techniques/T1566/
TA0001,Initial Access (초기 접근),공격자가 대상 네트워크에 처음 침투하는 단계. 다양한 진입 경로를 사용하여 초기 거점 확보,T1091,Replication Through Removable Media,공격자가 이동식 매체를 통해 전파함,USB 드라이브를 통한 악성코드 감염,https://attack.mitre.org/techniques/T1091/
TA0001,Initial Access (초기 접근),공격자가 대상 네트워크에 처음 침투하는 단계. 다양한 진입 경로를 사용하여 초기 거점 확보,T1195,Supply Chain Compromise,공격자가 공급망을 침해함,소프트웨어 업데이트에 악성코드 삽입,https://attack.mitre.org/techniques/T1195/
TA0001,Initial Access (초기 접근),공격자가 대상 네트워크에 처음 침투하는 단계. 다양한 진입 경로를 사용하여 초기 거점 확보,T1199,Trusted Relationship,공격자가 신뢰 관계를 악용함,협력업체 계정을 통한 침투,https://attack.mitre.org/techniques/T1199/
TA0001,Initial Access (초기 접근),공격자가 대상 네트워크에 처음 침투하는 단계. 다양한 진입 경로를 사용하여 초기 거점 확보,T1078,Valid Accounts,공격자가 정상 계정을 사용함,탈취한 계정으로 정상 로그인,https://attack.mitre.org/techniques/T1078/
TA0002,Execution (실행),공격자가 피해자 시스템에서 악성 코드를 실행하는 단계. 다양한 방법으로 악의적 명령 수행,T1059,Command and Scripting Interpreter,공격자가 명령줄이나 스크립트를 실행함,PowerShell이나 Bash 스크립트로 악성 명령 실행,https://attack.mitre.org/techniques/T1059/
TA0002,Execution (실행),공격자가 피해자 시스템에서 악성 코드를 실행하는 단계. 다양한 방법으로 악의적 명령 수행,T1609,Container Administration Command,공격자가 컨테이너 관리 명령을 실행함,Docker나 Kubernetes 명령으로 악성 작업 수행,https://attack.mitre.org/techniques/T1609/
TA0002,Execution (실행),공격자가 피해자 시스템에서 악성 코드를 실행하는 단계. 다양한 방법으로 악의적 명령 수행,T1610,Deploy Container,공격자가 악성 컨테이너를 배포함,악성 Docker 이미지를 실행,https://attack.mitre.org/techniques/T1610/
TA0002,Execution (실행),공격자가 피해자 시스템에서 악성 코드를 실행하는 단계. 다양한 방법으로 악의적 명령 수행,T1203,Exploitation for Client Execution,공격자가 클라이언트 취약점을 악용하여 실행함,브라우저나 오피스 프로그램의 버그를 이용,https://attack.mitre.org/techniques/T1203/
TA0002,Execution (실행),공격자가 피해자 시스템에서 악성 코드를 실행하는 단계. 다양한 방법으로 악의적 명령 수행,T1559,Inter-Process Communication,공격자가 프로세스 간 통신을 악용함,DDE나 COM을 이용한 악성코드 실행,https://attack.mitre.org/techniques/T1559/
TA0002,Execution (실행),공격자가 피해자 시스템에서 악성 코드를 실행하는 단계. 다양한 방법으로 악의적 명령 수행,T1106,Native API,공격자가 시스템 API를 직접 호출함,Windows API를 직접 사용하여 탐지 회피,https://attack.mitre.org/techniques/T1106/
TA0002,Execution (실행),공격자가 피해자 시스템에서 악성 코드를 실행하는 단계. 다양한 방법으로 악의적 명령 수행,T1053,Scheduled Task/Job,공격자가 예약 작업을 생성함,예약된 시간에 악성코드가 자동 실행되도록 설정,https://attack.mitre.org/techniques/T1053/
TA0002,Execution (실행),공격자가 피해자 시스템에서 악성 코드를 실행하는 단계. 다양한 방법으로 악의적 명령 수행,T1648,Serverless Execution,공격자가 서버리스 환경에서 실행함,AWS Lambda 같은 서버리스 함수 악용,https://attack.mitre.org/techniques/T1648/
